2025-01-09 13:35:30 - [INFO] - Using device: cuda
2025-01-09 13:35:30 - [INFO] - Starting main processing loop...
2025-01-09 13:35:30 - [INFO] - Output directory checked: C:\Users\ASUS\Desktop\PreProcessed
2025-01-09 13:35:30 - [INFO] - Using up to 16 workers for processing.
2025-01-09 13:35:30 - [INFO] - Processing files with multi-threading...
2025-01-09 13:35:35 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_17539447241308047.txt
2025-01-09 13:35:35 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_15579883241290035.txt
2025-01-09 13:35:35 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_15579883241310834.txt
2025-01-09 13:35:35 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_19160216241291809.txt
2025-01-09 13:35:35 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_19160216241307548.txt
2025-01-09 13:35:35 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_19160216241307555.txt
2025-01-09 13:35:35 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_17534666241309795.txt
2025-01-09 13:35:35 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_00185787241303721.txt
2025-01-09 13:35:35 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_17455057241304654.txt
2025-01-09 13:35:35 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_15579883241309752.txt
2025-01-09 13:35:35 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_00185787241303721 (1).txt
2025-01-09 13:35:36 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_10812865231199067.txt
2025-01-09 13:35:36 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_02783649241261079.txt
2025-01-09 13:35:37 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_17455057241310633.txt
2025-01-09 13:35:38 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_21925682241311281.txt
2025-01-09 13:35:38 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_21925682241311261.txt
2025-01-09 13:35:39 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_21925682241284842.txt
2025-01-09 13:35:39 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_24741264241306422.txt
2025-01-09 13:35:40 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_20552076241308939.txt
2025-01-09 13:35:41 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_20552076241308939 (1).txt
2025-01-09 13:35:42 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_29768675241304684.txt
2025-01-09 13:35:42 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_26334941241309890.txt
2025-01-09 13:35:43 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10103_2024_Article_4216.txt
2025-01-09 13:35:43 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10195_2024_Article_813.txt
2025-01-09 13:35:45 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\110264.txt
2025-01-09 13:35:46 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\1104.txt
2025-01-09 13:35:46 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\1101.txt
2025-01-09 13:35:46 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\1107.txt
2025-01-09 13:35:47 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10875_2024_Article_1855.txt
2025-01-09 13:35:48 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10194_2024_Article_1915.txt
2025-01-09 13:35:48 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10143_2024_Article_3136.txt
2025-01-09 13:35:49 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_02537176241298999.txt
2025-01-09 13:35:49 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10661_2024_Article_13593.txt
2025-01-09 13:35:50 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12245_2024_Article_807.txt
2025-01-09 13:35:51 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10194_2024_Article_1944.txt
2025-01-09 13:35:51 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10071_2024_Article_1927.txt
2025-01-09 13:35:52 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10.1177_02537176241298999 (1).txt
2025-01-09 13:35:54 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12245_2024_Article_793.txt
2025-01-09 13:35:55 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\11250_2024_Article_4274.txt
2025-01-09 13:35:55 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10661_2024_Article_13517.txt
2025-01-09 13:35:56 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\11245_2024_Article_10112 (1).txt
2025-01-09 13:35:58 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12245_2024_Article_808.txt
2025-01-09 13:36:00 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12672_2024_Article_1698.txt
2025-01-09 13:36:00 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\11245_2024_Article_10112.txt
2025-01-09 13:36:00 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\10571_2024_Article_1516.txt
2025-01-09 13:36:03 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12860_2024_Article_526.txt
2025-01-09 13:36:08 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_5876.txt
2025-01-09 13:36:08 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12872_2024_Article_4441.txt
2025-01-09 13:36:09 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12862_2024_Article_2339.txt
2025-01-09 13:36:09 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_6011.txt
2025-01-09 13:36:09 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12520_2024_Article_2129 (1).txt
2025-01-09 13:36:09 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_5804.txt
2025-01-09 13:36:10 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12520_2024_Article_2129.txt
2025-01-09 13:36:10 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_6016.txt
2025-01-09 13:36:10 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_5879.txt
2025-01-09 13:36:11 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12298_2024_Article_1540 (1).txt
2025-01-09 13:36:12 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12298_2024_Article_1540.txt
2025-01-09 13:36:12 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_6024.txt
2025-01-09 13:36:13 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12870_2024_Article_5959.txt
